	MA	MA	MA	MA	NP	NP	A	N	N	P	
0	1	2	3	4	 	 	 	8	9	 	
1	1	2	3	4	 	 	 	8	9	 	
2	1	2	3	4	 	 	 	8	9	 	
3	1	2	3	4	 	 	 	8	9	 	
4	1	2	3	4	 	 	 	8	9	 	
5	1	2	3	4	 	 	 	8	9	 	
6	1	2	3	4	 	 	 	8	9	 	
7	1	2	3	4	 	 	 	8	9	 	
8	1	2	3	4	 	 	 	8	9	 	
9	1	2	3	4	 	 	 	8	9	 	
10	1	2	3	4	 	 	 	8	9	 	
11	1	2	3	4	 	 	 	8	9	 	
12	1	2	3	4	 	 	 	8	9	 	
13	1	2	3	4	 	 	 	8	9	 	
14	1	2	3	4	 	 	 	8	9	 	
15	1	2	3	4	 	 	 	8	9	 	
16	1	2	3	4	 	 	 	8	9	 	
17	1	2	3	4	 	 	 	8	9	 	
18	1	2	3	4	 	 	 	8	9	 	
19	1	2	3	4	 	 	 	8	9	 	
20	1	2	3	4	 	 	 	8	9	 	
21	1	2	3	4	 	 	7	8	9	 	
22	1	2	3	4	 	 	7	8	9	 	
23	1	2	3	4	 	 	7	8	9	 	
24	1	2	3	4	 	 	7	8	9	 	
25	1	2	3	4	 	 	7	8	9	 	
26	1	2	3	4	 	 	7	8	9	 	
27	1	2	3	4	 	 	7	8	9	 	
28	1	2	3	4	 	 	7	8	9	 	
29	1	2	3	4	 	 	7	8	9	 	
30	1	2	3	4	 	 	7	8	9	 	
31	1	2	3	4	 	 	7	8	9	 	
32	1	2	3	4	 	 	7	8	9	 	
33	1	2	3	4	 	 	7	8	9	 	
34	1	2	3	4	 	 	7	8	9	 	
35	1	2	3	4	 	 	7	8	9	 	
36	1	2	3	4	 	 	7	8	9	 	
37	1	2	3	4	 	 	7	8	9	 	
38	1	2	3	4	 	 	7	8	9	 	
39	1	2	3	4	 	 	 	8	9	 	
40	1	2	3	4	 	 	 	8	9	 	
41	1	2	3	4	 	 	 	8	9	 	
42	1	2	3	4	 	 	 	8	9	10	
43	1	2	3	4	 	 	 	8	9	10	
44	1	2	3	4	 	 	 	8	9	10	
45	1	2	3	4	 	 	 	8	9	10	
46	1	2	3	4	 	 	 	8	9	10	
47	1	2	3	4	 	 	 	8	9	10	
48	1	2	3	4	 	 	 	8	9	10	
49	1	2	3	4	 	 	 	8	9	10	
50	1	2	3	4	 	 	 	8	9	10	
51	1	2	3	4	 	 	 	8	9	10	
52	1	2	3	4	 	 	 	8	9	10	
53	1	2	3	4	 	 	 	8	9	10	
54	1	2	3	4	 	 	 	8	9	10	
55	1	2	3	4	 	 	 	8	9	10	
56	1	2	3	4	 	 	 	8	9	10	
57	1	2	3	4	 	 	 	8	9	10	
58	1	2	3	4	 	 	 	8	9	10	
59	1	2	3	4	 	 	 	8	9	10	
60	1	2	3	4	 	 	 	8	9	 	
61	1	2	3	4	 	 	 	8	9	 	
62	1	2	3	4	 	 	 	8	9	 	
63	1	2	3	4	 	 	 	8	9	10	
64	1	2	3	4	 	 	 	8	9	10	
65	1	2	3	4	 	 	 	8	9	10	
66	1	2	3	4	 	 	 	8	9	10	
67	1	2	3	4	 	 	 	8	9	10	
68	1	2	3	4	 	 	 	8	9	10	
69	1	2	3	4	 	 	 	8	9	10	
70	1	2	3	4	 	 	 	8	9	10	
71	1	2	3	4	 	 	 	8	9	10	
72	1	2	3	4	 	 	 	8	9	10	
73	1	2	3	4	 	 	 	8	9	10	
74	1	2	3	4	 	 	 	8	9	10	
75	1	2	3	4	 	 	 	8	9	10	
76	1	2	3	4	 	 	 	8	9	10	
77	1	2	3	4	 	 	 	8	9	10	
78	1	2	3	4	 	 	 	8	9	10	
79	1	2	3	4	 	 	 	8	9	10	
80	1	2	3	4	 	 	 	8	9	10	
81	1	2	3	4	 	 	 	8	9	10	
82	1	2	3	4	 	 	 	8	9	10	
83	1	2	3	4	 	 	 	8	9	10	
84	1	2	3	4	 	 	 	8	9	10	
85	1	2	3	4	 	 	 	8	9	10	
86	1	2	3	4	 	 	 	8	9	10	
87	1	2	3	4	 	 	 	8	9	10	
88	1	2	3	4	 	 	 	8	9	10	
89	1	2	3	4	 	 	 	8	9	10	
90	1	2	3	4	 	 	 	8	9	10	
91	1	2	3	4	 	 	 	8	9	10	
92	1	2	3	4	 	 	 	8	9	10	
93	1	2	3	4	 	 	 	8	9	10	
94	1	2	3	4	 	 	 	8	9	10	
95	1	2	3	4	 	 	 	8	9	10	
96	1	2	3	4	 	 	 	8	9	10	
97	1	2	3	4	 	 	 	8	9	10	
98	1	2	3	4	 	 	 	8	9	10	
99	1	2	3	4	 	 	 	8	9	10	
100	1	2	3	4	 	 	 	8	9	10	
101	1	2	3	4	 	 	 	8	9	10	
102	1	2	3	4	 	 	 	8	9	10	
103	1	2	3	4	 	 	 	8	9	10	
104	1	2	3	4	 	 	 	8	9	10	
105	1	2	3	4	 	 	 	8	9	10	
106	1	2	3	4	 	 	 	8	9	10	
107	1	2	3	4	 	 	 	8	9	10	
108	1	2	3	4	 	 	 	8	9	10	
109	1	2	3	4	 	 	 	8	9	10	
110	1	2	3	4	 	 	 	8	9	10	
111	1	2	3	4	 	 	 	8	9	10	
112	1	2	3	4	 	 	 	8	9	10	
113	1	2	3	4	 	 	 	8	9	10	
114	1	2	3	4	 	 	 	8	9	10	
115	1	2	3	4	 	 	 	8	9	10	
116	1	2	3	4	 	 	 	8	9	10	
117	1	2	3	4	 	 	 	8	9	10	
118	1	2	3	4	 	 	 	8	9	10	
119	1	2	3	4	 	 	 	8	9	10	
120	1	2	3	4	 	 	 	8	9	10	
121	1	2	3	4	 	 	 	8	9	10	
122	1	2	3	4	 	 	 	8	9	10	
123	1	2	3	4	 	 	 	8	9	10	
124	1	2	3	4	 	 	 	8	9	10	
125	1	2	3	4	 	 	 	8	9	10	
126	1	2	3	4	 	 	 	8	9	10	
127	1	2	3	4	 	 	 	8	9	10	
128	1	2	3	4	 	 	 	8	9	10	
129	1	2	3	4	 	 	 	8	9	10	
130	1	2	3	4	 	 	 	8	9	10	
131	1	2	3	4	 	 	 	8	9	10	
132	1	2	3	4	 	 	 	8	9	10	
133	1	2	3	4	 	 	 	8	9	10	
134	1	2	3	4	 	 	 	8	9	10	
135	1	2	3	4	 	 	 	8	9	10	
136	1	2	3	4	 	 	 	8	9	10	
137	1	2	3	4	 	 	 	8	9	10	
138	1	2	3	4	 	 	 	8	9	10	
139	1	2	3	4	 	 	 	8	9	10	
140	1	2	3	4	 	 	 	8	9	10	
141	1	2	3	4	 	 	 	8	9	10	
142	1	2	3	4	 	 	 	8	9	10	
143	1	2	3	4	 	 	 	8	9	10	
144	1	2	3	4	 	 	 	8	9	10	
