Start Wait Time Bins 	 Start Wait Time Freq 	 Lobby Time Bins 	 Lobby Time Freq 	 Lobby Time Per Case Bins 	 Lobby Time Per Case Freq 	 In-OutTime Bins 	 In-OutTime Freq 	 In-OutTime Per Case Bins 	 In-OutTime Per Case Freq 	 Doctor Wasted Time Bins 	 Doctor Wasted Time Freq
0	1	15	2	0	2	135	2	40	4	0	2	
5	0	20	2	5	4	155	4	50	2	5	0	
10	5	25	0	10	2	175	0	60	2	10	0	
15	1	30	0	15	1	195	0	70	1	15	2	
20	3	35	2	20	0	215	0	80	1	20	2	
25	0	40	1	25	1	235	3	90	0	25	1	
 	 	45	1	30	0	255	1	100	0	30	0	
 	 	50	1	35	0	275	0	110	0	35	0	
 	 	55	0	40	0	295	1	120	1	40	2	
 	 	60	1	45	1	 	 	 	 	45	0	
 	 	65	0	 	 	 	 	 	 	50	0	
 	 	70	0	 	 	 	 	 	 	55	0	
 	 	75	0	 	 	 	 	 	 	60	0	
 	 	80	0	 	 	 	 	 	 	65	0	
 	 	85	0	 	 	 	 	 	 	70	0	
 	 	90	0	 	 	 	 	 	 	75	0	
 	 	95	1	 	 	 	 	 	 	80	1	
 	 	 	 	 	 	 	 	 	 	 	 	
