	GM1	PN1	GM2	A1	A1	GM2	GM3	PN1	GM1	PN1	GM1	GM2	GM2	PN1	PN1	GM1	GM2	GM1	GM3	
0	 	 	3	4	5	 	 	 	 	10	 	 	 	14	 	 	17	 	 	
1	 	 	3	4	5	 	 	 	 	10	 	 	 	14	 	 	17	 	 	
2	 	 	3	4	5	 	 	 	 	10	 	 	 	14	 	 	17	 	 	
3	 	 	3	4	5	 	 	 	 	10	 	 	 	14	 	 	17	 	 	
4	 	 	3	4	5	 	 	 	 	10	 	 	 	14	 	 	17	 	 	
5	 	 	3	4	5	 	 	 	 	10	 	 	 	14	 	 	17	 	 	
6	 	 	3	4	5	 	 	 	 	10	 	 	 	14	 	 	17	 	 	
7	 	 	3	4	5	 	 	 	 	10	 	 	 	14	 	 	17	 	 	
8	 	 	3	4	5	 	 	 	 	10	 	 	 	14	 	 	17	 	 	
9	 	 	3	4	5	 	 	 	 	10	 	 	 	14	 	 	17	 	 	
10	 	 	3	4	5	 	 	 	 	10	 	 	 	14	 	 	17	 	 	
11	 	 	3	4	5	 	 	 	 	10	 	 	 	14	 	 	17	 	 	
12	 	 	3	4	5	 	 	 	 	10	 	 	 	14	 	 	17	 	 	
13	 	 	3	4	5	 	 	 	 	10	 	 	 	14	 	 	17	 	 	
14	 	 	3	4	5	 	 	 	 	10	 	 	 	14	 	 	17	 	 	
15	 	 	3	4	5	 	 	 	 	10	 	 	 	14	 	 	17	 	 	
16	 	 	3	4	5	 	 	 	 	10	 	 	 	14	 	 	17	 	 	
17	 	 	3	4	5	 	 	 	 	10	 	 	 	14	 	 	17	 	 	
18	 	 	3	4	5	 	 	 	 	10	 	 	 	14	 	 	17	 	 	
19	 	 	3	4	5	 	 	 	 	10	 	 	 	14	 	 	17	 	 	
20	 	 	3	4	5	 	 	 	 	10	 	 	 	14	 	 	17	 	 	
21	 	2	3	4	 	 	 	8	 	10	 	 	 	14	 	 	17	 	 	
22	 	2	3	4	 	 	 	8	 	10	 	 	 	14	 	 	17	 	 	
23	 	2	3	4	 	 	 	8	 	10	 	 	 	14	 	 	17	 	 	
24	 	2	3	4	 	 	 	8	 	10	 	 	 	14	 	 	17	 	 	
25	 	2	3	4	 	 	 	8	 	10	 	 	 	14	 	 	17	 	 	
26	 	2	3	4	 	 	 	8	 	10	 	 	 	14	 	 	17	 	 	
27	 	2	3	4	 	 	 	8	 	10	 	 	 	14	 	 	17	 	 	
28	 	2	3	4	 	 	 	8	 	10	 	 	 	14	 	 	17	 	 	
29	 	2	3	4	 	 	 	8	 	10	 	 	 	14	 	 	17	 	 	
30	 	2	3	 	5	 	 	8	 	10	 	 	 	14	 	 	17	 	 	
31	 	2	3	 	5	 	 	8	 	10	 	 	 	14	 	 	17	 	 	
32	 	2	3	 	5	 	 	8	 	10	 	 	 	14	 	 	17	 	 	
33	 	2	3	 	5	 	 	8	 	10	 	 	 	14	 	 	17	 	 	
34	 	2	3	 	5	 	 	8	 	10	 	 	 	14	 	 	17	 	 	
35	 	2	3	 	5	 	 	8	 	10	 	 	 	14	 	 	17	 	 	
36	 	2	3	 	5	 	 	8	 	10	 	 	 	14	 	 	17	 	 	
37	 	2	3	 	5	 	 	8	 	10	 	 	 	14	 	 	17	 	 	
38	 	2	3	 	5	 	 	8	 	10	 	 	 	14	 	 	17	 	 	
39	 	2	3	 	 	 	 	8	 	10	 	 	 	14	 	 	17	 	 	
40	 	2	3	 	 	 	 	8	 	10	 	 	 	14	 	 	17	 	 	
41	 	2	3	 	 	 	 	8	 	10	 	 	 	14	 	 	17	 	 	
42	 	2	3	 	 	 	 	8	 	 	 	12	 	14	15	 	17	 	 	
43	 	2	3	 	 	 	 	8	 	 	 	12	 	14	15	 	17	 	 	
44	 	2	3	 	 	 	 	8	 	 	 	12	 	14	15	 	17	 	 	
45	 	2	 	 	 	 	 	8	 	10	11	12	 	 	15	 	17	 	 	
46	 	2	 	 	 	 	 	8	 	10	11	12	 	 	15	 	17	 	 	
47	 	2	 	 	 	 	 	8	 	10	11	12	 	 	15	 	17	 	 	
48	 	2	 	 	 	 	 	8	 	10	11	12	 	 	15	 	17	 	 	
49	 	2	 	 	 	 	 	8	 	10	11	12	 	 	15	 	17	 	 	
50	 	2	 	 	 	 	 	8	 	10	11	12	 	 	15	 	17	 	 	
51	 	2	 	 	 	 	 	8	 	10	11	12	 	 	15	 	17	 	 	
52	 	2	 	 	 	 	 	8	 	10	11	12	 	 	15	 	17	 	 	
53	 	2	 	 	 	 	 	8	 	10	11	12	 	 	15	 	17	 	 	
54	 	2	 	 	 	 	 	8	 	10	11	12	 	 	15	 	17	 	 	
55	 	2	 	 	 	 	 	8	 	10	11	12	 	 	15	 	17	 	 	
56	 	2	 	 	 	 	 	8	 	10	11	12	 	 	15	 	17	 	 	
57	 	2	 	 	 	 	 	8	 	10	11	12	 	 	15	 	17	 	 	
58	 	2	 	 	 	 	 	8	 	10	11	12	 	 	15	 	17	 	 	
59	 	2	 	 	 	 	 	8	 	10	11	12	 	 	15	 	17	 	 	
60	 	2	 	 	 	 	 	8	 	10	11	12	 	 	15	 	 	 	 	
61	 	2	 	 	 	 	 	8	 	10	11	12	 	 	15	 	 	 	 	
62	 	2	 	 	 	 	 	8	 	10	11	12	 	 	15	 	 	 	 	
63	 	2	3	 	 	 	 	 	 	10	11	12	 	14	15	 	 	 	 	
64	 	2	3	 	 	 	 	 	 	10	11	12	 	14	15	 	 	 	 	
65	 	2	3	 	 	 	 	 	 	10	11	12	 	14	15	 	 	 	 	
66	 	2	3	 	 	 	 	 	 	10	11	12	 	14	15	 	 	 	 	
67	 	2	3	 	 	 	 	 	 	10	11	12	 	14	15	 	 	 	 	
68	 	2	3	 	 	 	 	 	 	10	11	12	 	14	15	 	 	 	 	
69	 	2	3	 	 	 	 	 	 	10	11	12	 	14	15	 	 	 	 	
70	 	2	3	 	 	 	 	 	 	10	11	12	 	14	15	 	 	 	 	
71	 	2	3	 	 	 	 	 	 	10	11	12	 	14	15	 	 	 	 	
72	 	2	3	 	 	 	 	 	 	10	11	12	 	14	15	 	 	 	 	
73	 	2	3	 	 	 	 	 	 	10	11	12	 	14	15	 	 	 	 	
74	 	2	3	 	 	 	 	 	 	10	11	12	 	14	15	 	 	 	 	
75	 	2	3	 	 	 	 	 	 	10	11	12	 	14	15	 	 	 	 	
76	 	2	3	 	 	 	 	 	 	10	11	12	 	14	15	 	 	 	 	
77	 	2	3	 	 	 	 	 	 	10	11	12	 	14	15	 	 	 	 	
78	 	2	3	 	 	 	 	 	 	10	11	12	 	14	15	 	 	 	 	
79	 	2	3	 	 	 	 	 	 	10	11	12	 	14	15	 	 	 	 	
80	 	2	3	 	 	 	 	 	 	10	11	12	 	14	15	 	 	 	 	
81	 	 	3	 	 	 	 	8	 	10	11	12	 	14	15	 	 	 	 	
82	 	 	3	 	 	 	 	8	 	10	11	12	 	14	15	 	 	 	 	
83	 	 	3	 	 	 	 	8	 	10	11	12	 	14	15	 	 	 	 	
84	 	2	3	 	 	 	 	8	 	10	11	 	 	14	15	 	 	 	 	
85	 	2	3	 	 	 	 	8	 	10	11	 	 	14	15	 	 	 	 	
86	 	2	3	 	 	 	 	8	 	10	11	 	 	14	15	 	 	 	 	
87	 	2	3	 	 	 	 	8	 	10	11	 	 	14	15	 	 	 	 	
88	 	2	3	 	 	 	 	8	 	10	11	 	 	14	15	 	 	 	 	
89	 	2	3	 	 	 	 	8	 	10	11	 	 	14	15	 	 	 	 	
90	 	2	3	 	 	 	 	8	 	 	 	 	 	14	15	 	17	18	 	
91	 	2	3	 	 	 	 	8	 	 	 	 	 	14	15	 	17	18	 	
92	 	2	3	 	 	 	 	8	 	 	 	 	 	14	15	 	17	18	 	
93	 	2	3	 	 	 	 	8	 	 	 	 	 	14	15	 	17	18	 	
94	 	2	3	 	 	 	 	8	 	 	 	 	 	14	15	 	17	18	 	
95	 	2	3	 	 	 	 	8	 	 	 	 	 	14	15	 	17	18	 	
96	 	2	3	 	 	 	 	8	 	 	 	 	 	14	15	 	17	18	 	
97	 	2	3	 	 	 	 	8	 	 	 	 	 	14	15	 	17	18	 	
98	 	2	3	 	 	 	 	8	 	 	 	 	 	14	15	 	17	18	 	
99	 	2	3	 	 	 	 	 	 	10	 	 	 	14	15	 	17	18	 	
100	 	2	3	 	 	 	 	 	 	10	 	 	 	14	15	 	17	18	 	
101	 	2	3	 	 	 	 	 	 	10	 	 	 	14	15	 	17	18	 	
102	 	2	3	 	 	 	 	 	 	10	 	 	 	14	15	 	17	18	 	
103	 	2	3	 	 	 	 	 	 	10	 	 	 	14	15	 	17	18	 	
104	 	2	3	 	 	 	 	 	 	10	 	 	 	14	15	 	17	18	 	
105	 	2	 	 	 	6	 	 	 	10	 	 	 	14	15	 	17	18	 	
106	 	2	 	 	 	6	 	 	 	10	 	 	 	14	15	 	17	18	 	
107	 	2	 	 	 	6	 	 	 	10	 	 	 	14	15	 	17	18	 	
108	 	2	 	 	 	6	 	 	 	10	 	 	 	14	15	 	17	18	 	
109	 	2	 	 	 	6	 	 	 	10	 	 	 	14	15	 	17	18	 	
110	 	2	 	 	 	6	 	 	 	10	 	 	 	14	15	 	17	18	 	
111	 	2	 	 	 	6	 	 	 	10	 	 	 	14	15	 	17	18	 	
