	TRIAGE	TRIAGE	TRIAGE	TRIAGE	GM	GM	GM	GM	A	P	P	
0	1	2	3	4	5	6	 	 	 	 	 	
1	1	2	3	4	5	6	 	 	 	 	 	
2	1	2	3	4	5	6	 	 	 	 	 	
3	1	2	3	4	5	6	 	 	 	 	 	
4	1	2	3	4	5	6	 	 	 	 	 	
5	1	2	3	4	5	6	 	 	 	 	 	
6	1	2	3	4	5	6	 	 	 	 	 	
7	1	2	3	4	5	6	 	 	 	 	 	
8	1	2	3	4	5	6	 	 	 	 	 	
9	1	2	3	4	5	6	 	 	 	 	 	
10	1	2	3	4	5	6	 	 	 	 	 	
11	1	2	3	4	5	6	 	 	 	 	 	
12	1	2	3	4	5	6	 	 	 	 	 	
13	1	2	3	4	5	6	 	 	 	 	 	
14	1	2	3	4	5	6	 	 	 	 	 	
15	1	2	3	4	5	6	 	 	 	 	 	
16	1	2	3	4	5	6	 	 	 	 	 	
17	1	2	3	4	5	6	 	 	 	 	 	
18	1	2	3	4	5	6	 	 	 	 	 	
19	1	2	3	4	5	6	 	 	 	 	 	
20	1	2	3	4	5	6	 	 	 	 	 	
21	1	2	3	4	5	6	 	 	9	 	 	
22	1	2	3	4	5	6	 	 	9	 	 	
23	1	2	3	4	5	6	 	 	9	 	 	
24	1	2	3	4	5	6	 	 	9	 	 	
25	1	2	3	4	5	6	 	 	9	 	 	
26	1	2	3	4	5	6	 	 	9	 	 	
27	1	2	3	4	5	6	 	 	9	 	 	
28	1	2	3	4	5	6	 	 	9	 	 	
29	1	2	3	4	5	6	 	 	9	 	 	
30	1	2	3	4	5	6	 	 	9	 	 	
31	1	2	3	4	5	6	 	 	9	 	 	
32	1	2	3	4	5	6	 	 	9	 	 	
33	1	2	3	4	5	6	 	 	9	 	 	
34	1	2	3	4	5	6	 	 	9	 	 	
35	1	2	3	4	5	6	 	 	9	 	 	
36	1	2	3	4	5	6	 	 	9	 	 	
37	1	2	3	4	5	6	 	 	9	 	 	
38	1	2	3	4	5	6	 	 	9	 	 	
39	1	2	3	4	5	6	 	 	 	 	 	
40	1	2	3	4	5	6	 	 	 	 	 	
41	1	2	3	4	5	6	 	 	 	 	 	
42	1	2	3	4	5	6	 	 	 	10	 	
43	1	2	3	4	5	6	 	 	 	10	 	
44	1	2	3	4	5	6	 	 	 	10	 	
45	1	2	3	4	5	6	 	 	 	10	 	
46	1	2	3	4	5	6	 	 	 	10	 	
47	1	2	3	4	5	6	 	 	 	10	 	
48	1	2	3	4	5	6	 	 	 	10	 	
49	1	2	3	4	5	6	 	 	 	10	 	
50	1	2	3	4	5	6	 	 	 	10	 	
51	1	2	3	4	5	6	 	 	 	10	 	
52	1	2	3	4	5	6	 	 	 	10	 	
53	1	2	3	4	5	6	 	 	 	10	 	
54	1	2	3	4	5	6	 	 	 	10	 	
55	1	2	3	4	5	6	 	 	 	10	 	
56	1	2	3	4	5	6	 	 	 	10	 	
57	1	2	3	4	5	6	 	 	 	10	 	
58	1	2	3	4	5	6	 	 	 	10	 	
59	1	2	3	4	5	6	 	 	 	10	 	
60	1	2	3	4	5	6	 	 	 	 	 	
61	1	2	3	4	5	6	 	 	 	 	 	
62	1	2	3	4	5	6	 	 	 	 	 	
63	1	2	3	4	5	6	 	 	 	10	 	
64	1	2	3	4	5	6	 	 	 	10	 	
65	1	2	3	4	5	6	 	 	 	10	 	
66	1	2	3	4	5	6	 	 	 	10	 	
67	1	2	3	4	5	6	 	 	 	10	 	
68	1	2	3	4	5	6	 	 	 	10	 	
69	1	2	3	4	5	6	 	 	 	10	 	
70	1	2	3	4	5	6	 	 	 	10	 	
71	1	2	3	4	5	6	 	 	 	10	 	
72	1	2	3	4	5	6	 	 	 	10	 	
73	1	2	3	4	5	6	 	 	 	10	 	
74	1	2	3	4	5	6	 	 	 	10	 	
75	1	2	3	4	5	6	 	 	 	10	 	
76	1	2	3	4	5	6	 	 	 	10	 	
77	1	2	3	4	5	6	 	 	 	10	 	
78	1	2	3	4	5	6	 	 	 	10	 	
79	1	2	3	4	5	6	 	 	 	10	 	
80	1	2	3	4	5	6	 	 	 	10	 	
81	1	2	3	4	5	6	 	 	 	10	 	
82	1	2	3	4	5	6	 	 	 	10	 	
83	1	2	3	4	5	6	 	 	 	10	 	
84	1	2	3	4	5	6	 	 	 	10	 	
85	1	2	3	4	5	6	 	 	 	10	 	
86	1	2	3	4	5	6	 	 	 	10	 	
87	1	2	3	4	5	6	 	 	 	10	 	
88	1	2	3	4	5	6	 	 	 	10	 	
89	1	2	3	4	5	6	 	 	 	10	 	
90	1	2	3	4	5	6	 	 	 	10	 	
91	1	2	3	4	5	6	 	 	 	10	 	
92	1	2	3	4	5	6	 	 	 	10	 	
93	1	2	3	4	5	6	 	 	 	10	 	
94	1	2	3	4	5	6	 	 	 	10	 	
95	1	2	3	4	5	6	 	 	 	10	 	
96	1	2	3	4	5	6	 	 	 	10	 	
97	1	2	3	4	5	6	 	 	 	10	 	
98	1	2	3	4	5	6	 	 	 	10	 	
99	1	2	3	4	5	6	 	 	 	10	 	
100	1	2	3	4	5	6	 	 	 	10	 	
101	1	2	3	4	5	6	 	 	 	10	 	
102	1	2	3	4	5	6	 	 	 	10	 	
103	1	2	3	4	5	6	 	 	 	10	 	
104	1	2	3	4	5	6	 	 	 	10	 	
105	1	2	3	4	5	6	 	 	 	10	 	
106	1	2	3	4	5	6	 	 	 	10	 	
107	1	2	3	4	5	6	 	 	 	10	 	
108	1	2	3	4	5	6	 	 	 	10	 	
109	1	2	3	4	5	6	 	 	 	10	 	
110	1	2	3	4	5	6	 	 	 	10	 	
111	1	2	3	4	5	6	 	 	 	10	 	
112	1	2	3	4	5	6	 	 	 	10	 	
113	1	2	3	4	5	6	 	 	 	10	 	
114	1	2	3	4	5	6	 	 	 	10	 	
115	1	2	3	4	5	6	 	 	 	10	 	
116	1	2	3	4	5	6	 	 	 	10	 	
117	1	2	3	4	5	6	 	 	 	10	 	
118	1	2	3	4	5	6	 	 	 	10	 	
119	1	2	3	4	5	6	 	 	 	10	 	
120	1	2	3	4	5	6	 	 	 	10	 	
121	1	2	3	4	5	6	 	 	 	10	 	
122	1	2	3	4	5	6	 	 	 	10	 	
123	1	2	3	4	5	6	 	 	 	10	 	
124	1	2	3	4	5	6	 	 	 	10	 	
125	1	2	3	4	5	6	 	 	 	10	 	
126	1	2	3	4	5	6	 	 	 	10	 	
127	1	2	3	4	5	6	 	 	 	10	 	
128	1	2	3	4	5	6	 	 	 	10	 	
129	1	2	3	4	5	6	 	 	 	10	 	
130	1	2	3	4	5	6	 	 	 	10	 	
131	1	2	3	4	5	6	 	 	 	10	 	
132	1	2	3	4	5	6	 	 	 	10	 	
133	1	2	3	4	5	6	 	 	 	10	 	
134	1	2	3	4	5	6	 	 	 	10	 	
135	1	2	3	4	5	6	 	 	 	10	 	
136	1	2	3	4	5	6	 	 	 	10	 	
137	1	2	3	4	5	6	 	 	 	10	 	
138	1	2	3	4	5	6	 	 	 	10	 	
139	1	2	3	4	5	6	 	 	 	10	 	
140	1	2	3	4	5	6	 	 	 	10	 	
141	1	2	3	4	5	6	 	 	 	10	 	
142	1	2	3	4	5	6	 	 	 	10	 	
143	1	2	3	4	5	6	 	 	 	10	 	
144	1	2	3	4	5	6	 	 	 	10	 	
145	1	2	3	4	5	6	 	 	 	10	 	
146	1	2	3	4	5	6	 	 	 	10	 	
147	1	2	3	4	5	6	 	 	 	10	 	
148	1	2	3	4	5	6	 	 	 	10	 	
149	1	2	3	4	5	6	 	 	 	10	 	
150	1	2	3	4	5	6	 	 	 	10	 	
151	1	2	3	4	5	6	 	 	 	10	 	
152	1	2	3	4	5	6	 	 	 	10	 	
153	1	2	3	4	5	6	 	 	 	10	 	
154	1	2	3	4	5	6	 	 	 	10	 	
155	1	2	3	4	5	6	 	 	 	10	 	
156	1	2	3	4	5	6	 	 	 	10	 	
157	1	2	3	4	5	6	 	 	 	10	 	
158	1	2	3	4	5	6	 	 	 	10	 	
159	1	2	3	4	5	6	 	 	 	10	 	
160	1	2	3	4	5	6	 	 	 	10	 	
161	1	2	3	4	5	6	 	 	 	10	 	
162	1	2	3	4	5	6	 	 	 	10	 	
163	1	2	3	4	5	6	 	 	 	10	 	
164	1	2	3	4	5	6	 	 	 	10	 	
165	1	2	3	4	5	6	 	 	 	10	 	
166	1	2	3	4	5	6	 	 	 	10	 	
167	1	2	3	4	5	6	 	 	 	10	 	
168	1	2	3	4	5	6	 	 	 	10	 	
169	1	2	3	4	5	6	 	 	 	10	 	
170	1	2	3	4	5	6	 	 	 	10	 	
171	1	2	3	4	5	6	 	 	 	10	 	
172	1	2	3	4	5	6	 	 	 	10	 	
173	1	2	3	4	5	6	 	 	 	10	 	
174	1	2	3	4	5	6	 	 	 	10	 	
175	1	2	3	4	5	6	 	 	 	10	 	
176	1	2	3	4	5	6	 	 	 	10	 	
177	1	2	3	4	5	6	 	 	 	10	 	
178	1	2	3	4	5	6	 	 	 	10	 	
179	1	2	3	4	5	6	 	 	 	10	 	
180	1	2	3	4	5	6	 	 	 	10	 	
